question,type,target_ids,retrieved_ids,recall,precision,mrr,answer,ground_truth
인터넷 속도가 갑자기 너무 느려졌는데 이유가 뭘까요?,normal,['faq_2866db17a500'],['faq_2866db17a500'],1.0,1.0,1.0,"인터넷 속도가 느려졌다면 우선 사용 중인 데이터 요금제의 데이터 소진 여부를 확인해 보세요. 데이터가 모두 소진된 경우 속도가 제한될 수 있습니다. 이 경우, 더 많은 데이터가 포함된 요금제로 변경하시면 속도를 빠르게 회복할 수 있습니다. 요금제 변경 시 월 요금이 추가될 수 있으니 주의해 주세요. 더 자세한 상담이 필요하시다면 고객센터로 문의해 주세요.","사용 중인 요금제의 데이터 소진 여부를 확인해 보시고, 필요시 요금제 변경을 검토해 보세요."
모르는 번호로 전화가 자꾸 오는데 자동으로 막아주는 서비스 있나요?,normal,['faq_9d439aab87a8'],['faq_9d439aab87a8'],1.0,1.0,1.0,"모르는 번호로 오는 전화를 자동으로 막아주는 U+스팸차단 서비스를 이용하실 수 있습니다. 이 서비스는 광고 전화 및 보이스피싱 의심 번호를 자동으로 걸러주는 기능을 제공합니다. 신청 방법은 고객센터에 문의하여 신청 의사를 전달하시면 되며, 서비스는 무료로 제공됩니다.",무료 부가서비스인 'U+스팸차단'을 신청하시면 광고 전화를 자동으로 차단하실 수 있습니다.
결제하는 카드가 바뀌었는데 자동이체 정보는 어떻게 수정하나요?,normal,['faq_c447073342a4'],['faq_c447073342a4'],1.0,1.0,1.0,"자동이체 카드 변경 방법은 다음과 같습니다. 먼저 새로운 카드사의 이름과 카드 번호를 준비하십시오. 그런 다음 고객센터에 연락하여 카드 변경 요청을 하시면 됩니다. 상담원이 고객 정보를 확인한 후 카드 변경을 진행하며, 변경된 카드로 다음 달 청구분부터 자동 납부가 이루어집니다. 이번 달 청구분은 기존 카드로 납부해 주시기 바랍니다. 보다 자세한 상담은 고객센터로 문의하시기 바랍니다.","새 카드의 정보(카드사, 번호)를 준비하여 고객센터를 통해 변경 신청을 하시면 됩니다."
티비 화면이 갑자기 까맣게 나오고 아무것도 안 떠요.,normal,['faq_26c3edc882e6'],['faq_26c3edc882e6'],1.0,1.0,1.0,"TV 화면이 검게 되면, 리모컨의 '외부입력' 버튼을 눌러 입력 신호를 변경해 보시기 바랍니다. 그래도 문제가 해결되지 않으면, 추가적인 점검이 필요할 수 있습니다. 더 자세한 상담은 고객센터로 문의해 주세요.",리모컨의 '외부입력' 버튼을 눌러 신호를 전환하여 화면이 나오는지 확인해 보시기 바랍니다.
이번 달 휴대폰 요금에 소액결제가 너무 많이 나왔는데 확인 부탁드려요.,normal,['faq_13e3f3d61964'],['faq_13e3f3d61964'],1.0,1.0,1.0,"[요금 문의] 소액결제 요금 과다 부과

휴대폰 소액결제에 의해 요금이 과다 부과될 수 있습니다. 이는 종종 게임 아이템 구매와 같은 유료 콘텐츠에 대한 결제에서 발생할 수 있습니다. 소액결제 기능을 차단하면 앞으로 이러한 문제가 예방됩니다. 소액결제 차단을 원하시면 고객센터에 문의하시기 바랍니다. 더 자세한 상담은 고객센터로 문의해 주세요.","유료 콘텐츠 결제 여부를 확인해 보시고, 향후 방지를 위해 소액결제 차단 기능을 신청하세요."
집에 인터넷이 아예 안 되는데 공유기 문제인가요?,normal,['faq_b3b10e6579c9'],['faq_b3b10e6579c9'],1.0,1.0,1.0,"인터넷이 작동하지 않을 경우, 먼저 모뎀이나 공유기의 전원이 들어올 수 있도록 전원선을 확인해 주세요. 전원선이나 케이블이 헐겁게 빠져있지 않은지 확인하시고, 다시 꽂아 주세요. 만약 전원선이 제대로 연결되어 있는데도 문제가 해결되지 않는다면, 고객센터로 문의해 주세요.","모뎀과 공유기의 전원선 연결 상태를 점검하시고, 헐겁다면 다시 꽂아 보시기 바랍니다."
요금제가 너무 비싼 것 같은데 저렴한 걸로 낮추고 싶어요.,normal,['faq_22ba27ef707d'],['faq_22ba27ef707d'],1.0,1.0,1.0,"요금제가 부담스러우신 경우, 요금제를 하향 변경하실 수 있습니다. 먼저, 현재 사용 중인 요금제와 데이터 사용량을 확인하여 적절한 요금제를 추천받아보세요. 또한 선택약정 할인 적용도 고려하실 수 있습니다. 다양한 요금제를 비교하여 본인의 사용 패턴에 맞는 요금제를 선택하고, 절감되는 금액을 미리 계산해보세요. 더 자세한 상담은 고객센터로 문의하시면 도움을 받으실 수 있습니다.",사용 패턴에 맞는 저렴한 요금제를 추천받아 고객센터를 통해 하향 변경하실 수 있습니다.
요금제를 바꾸면 나중에 요금이 갑자기 더 오를까 봐 걱정돼요.,normal,['faq_dbeed37b6f17'],['faq_dbeed37b6f17'],1.0,1.0,1.0,"요금제가 변경되더라도 기존에 설정된 요금 구조는 유지됩니다. 약정 24개월 동안 자동으로 요금이 인상되지 않으며, 중간에 요금이 더 붙지 않습니다. 필요 시 초기 1개월 내에 요금제 조정도 가능하니 큰 걱정 없이 진행하시면 됩니다.",약정 기간 내에는 요금이 자동으로 인상되지 않으며 안심하고 변경하셔도 됩니다.
인터넷이 계속 끊겼다 연결됐다 하는데 어떻게 조치해야 하죠?,normal,['faq_563304e5e2ac'],['faq_563304e5e2ac'],1.0,1.0,1.0,"인터넷이 계속 끊겼다 연결되는 경우, 모뎀이나 공유기의 전원 어댑터를 분리하고 약 30초 기다렸다가 다시 연결해 보세요. 또한, 인터넷 표시등이 꺼져 있다면 외부 회선 점검이 필요할 수 있습니다. 벽에 연결된 인터넷 선이 잘 꽂혀 있는지도 확인해 주세요. 이후에도 문제가 지속되면 기사 방문 점검이 필요할 수 있습니다. 더 자세한 상담은 고객센터로 문의해 주세요.","모뎀과 공유기의 전원을 껐다 켜보시고, 증상이 지속되면 방문 점검을 예약해 주세요."
자동이체 카드를 새로 바꾼 걸로 지금 바로 등록 가능한가요?,normal,['faq_c447073342a4'],['faq_c447073342a4'],1.0,1.0,1.0,"자동이체 카드를 새로 바꾸려면 고객센터에 연락하여 카드 변경 요청을 하셔야 합니다. 준비물이 필요하니 새로운 카드사 이름과 카드 번호를 준비해 주세요. 이후 상담원이 고객 정보를 확인 후 변경된 카드로 다음 달 청구분부터 자동 납부가 이루어지게 됩니다. 이번 달 청구분은 기존 카드로 납부해 주시기 바랍니다. 또한, 더 자세한 사항은 고객센터에 문의해 주세요.","고객센터를 통해 즉시 변경 신청이 가능하며, 다음 달 청구분부터 새 카드로 결제됩니다."
